antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({' Ayam Potong'}),frozenset({' Air Mineral'}),0.24858757062146894,0.4463276836158192,0.1638418079096045,0.6590909090909091,1.4766973532796317,0.052890293338440406,1.6241054613935968
frozenset({' Air Mineral'}),frozenset({' Ayam Potong'}),0.4463276836158192,0.24858757062146894,0.1638418079096045,0.36708860759493667,1.4766973532796315,0.052890293338440406,1.187231638418079
frozenset({' Bakso'}),frozenset({' Air Mineral'}),0.2542372881355932,0.4463276836158192,0.1638418079096045,0.6444444444444444,1.4438818565400842,0.0503686680072776,1.5572033898305082
frozenset({' Air Mineral'}),frozenset({' Bakso'}),0.4463276836158192,0.2542372881355932,0.1638418079096045,0.36708860759493667,1.4438818565400844,0.0503686680072776,1.1783050847457626
frozenset({' Coklat'}),frozenset({' Air Mineral'}),0.3107344632768362,0.4463276836158192,0.2033898305084746,0.6545454545454545,1.4665132336018412,0.06470043729451946,1.6027356526910497
frozenset({' Air Mineral'}),frozenset({' Coklat'}),0.4463276836158192,0.3107344632768362,0.2033898305084746,0.4556962025316456,1.4665132336018412,0.06470043729451946,1.2663250558402313
frozenset({' Air Mineral'}),frozenset({' Deterjen'}),0.4463276836158192,0.1638418079096045,0.1016949152542373,0.2278481012658228,1.3906591008293323,0.028567780650515504,1.082893396313791
frozenset({' Deterjen'}),frozenset({' Air Mineral'}),0.1638418079096045,0.4463276836158192,0.1016949152542373,0.6206896551724139,1.3906591008293325,0.028567780650515504,1.459681561376477
frozenset({' Es Cream'}),frozenset({' Air Mineral'}),0.4293785310734463,0.4463276836158192,0.23728813559322035,0.5526315789473685,1.2381745502998003,0.045644610424845994,1.2376204719175807
frozenset({' Air Mineral'}),frozenset({' Es Cream'}),0.4463276836158192,0.4293785310734463,0.23728813559322035,0.5316455696202532,1.2381745502998003,0.045644610424845994,1.2183539471675064
frozenset({' Air Mineral'}),frozenset({' Garam'}),0.4463276836158192,0.1977401129943503,0.12994350282485875,0.2911392405063291,1.4723327305605787,0.041686616234160034,1.1317594834543987
frozenset({' Garam'}),frozenset({' Air Mineral'}),0.1977401129943503,0.4463276836158192,0.12994350282485875,0.6571428571428571,1.4723327305605787,0.041686616234160034,1.6148775894538607
frozenset({' Air Mineral'}),frozenset({' Gula'}),0.4463276836158192,0.2033898305084746,0.15254237288135594,0.3417721518987342,1.6803797468354431,0.061763860959494404,1.2102346805736637
frozenset({' Gula'}),frozenset({' Air Mineral'}),0.2033898305084746,0.4463276836158192,0.15254237288135594,0.75,1.6803797468354431,0.061763860959494404,2.214689265536723
frozenset({' Air Mineral'}),frozenset({' Mentega'}),0.4463276836158192,0.20903954802259886,0.13559322033898305,0.3037974683544304,1.4533014026684914,0.04229308308595871,1.1361068310220854
frozenset({' Mentega'}),frozenset({' Air Mineral'}),0.20903954802259886,0.4463276836158192,0.13559322033898305,0.6486486486486487,1.4533014026684914,0.04229308308595871,1.5758365927857454
frozenset({' Minumal Dingin'}),frozenset({' Air Mineral'}),0.4293785310734463,0.4463276836158192,0.2598870056497175,0.6052631578947368,1.3560959360426383,0.06824348048134316,1.4026365348399246
frozenset({' Air Mineral'}),frozenset({' Minumal Dingin'}),0.4463276836158192,0.4293785310734463,0.2598870056497175,0.5822784810126582,1.3560959360426383,0.06824348048134316,1.3660332134908404
frozenset({' Air Mineral'}),frozenset({' Minyak Goreng'}),0.4463276836158192,0.2937853107344633,0.1864406779661017,0.4177215189873418,1.4218597857838364,0.05531616074563503,1.212846966347335
frozenset({' Minyak Goreng'}),frozenset({' Air Mineral'}),0.2937853107344633,0.4463276836158192,0.1864406779661017,0.6346153846153846,1.4218597857838364,0.05531616074563503,1.5153137079988104
frozenset({' Air Mineral'}),frozenset({' Minyak Kayu Putih'}),0.4463276836158192,0.14124293785310735,0.1016949152542373,0.2278481012658228,1.6131645569620254,0.03865428197516678,1.1121607854033528
frozenset({' Minyak Kayu Putih'}),frozenset({' Air Mineral'}),0.14124293785310735,0.4463276836158192,0.1016949152542373,0.7200000000000001,1.6131645569620254,0.03865428197516678,1.9774011299435035
frozenset({' Air Mineral'}),frozenset({' Permen'}),0.4463276836158192,0.21468926553672316,0.1016949152542373,0.2278481012658228,1.0612924716855432,0.005873152670050119,1.0170417708622765
frozenset({' Permen'}),frozenset({' Air Mineral'}),0.21468926553672316,0.4463276836158192,0.1016949152542373,0.4736842105263158,1.061292471685543,0.005873152670050119,1.0519774011299436
frozenset({' Snack'}),frozenset({' Air Mineral'}),0.21468926553672316,0.4463276836158192,0.11864406779661017,0.5526315789473685,1.2381745502998003,0.022822305212422997,1.2376204719175807
frozenset({' Air Mineral'}),frozenset({' Snack'}),0.4463276836158192,0.21468926553672316,0.11864406779661017,0.2658227848101266,1.2381745502998003,0.022822305212422997,1.0696473796999806
frozenset({' Snak'}),frozenset({' Air Mineral'}),0.20903954802259886,0.4463276836158192,0.10734463276836158,0.5135135135135135,1.1505302771125556,0.014044495515337235,1.138104205900816
frozenset({' Air Mineral'}),frozenset({' Snak'}),0.4463276836158192,0.20903954802259886,0.10734463276836158,0.24050632911392406,1.1505302771125556,0.014044495515337235,1.0414312617702448
frozenset({' Sosis'}),frozenset({' Air Mineral'}),0.2937853107344633,0.4463276836158192,0.192090395480226,0.6538461538461539,1.4649464459591042,0.060965878259759326,1.5994978028876334
frozenset({' Air Mineral'}),frozenset({' Sosis'}),0.4463276836158192,0.2937853107344633,0.192090395480226,0.43037974683544306,1.4649464459591042,0.060965878259759326,1.2397991211550536
frozenset({' Teh Celup'}),frozenset({' Air Mineral'}),0.21468926553672316,0.4463276836158192,0.15819209039548024,0.736842105263158,1.6508994003997337,0.062370327811293064,2.1039548022598877
frozenset({' Air Mineral'}),frozenset({' Teh Celup'}),0.4463276836158192,0.21468926553672316,0.15819209039548024,0.3544303797468355,1.650899400399734,0.062370327811293064,1.2164617259333113
frozenset({' Telur'}),frozenset({' Air Mineral'}),0.5084745762711864,0.4463276836158192,0.3107344632768362,0.6111111111111112,1.369198312236287,0.08378818347218236,1.4237288135593222
frozenset({' Air Mineral'}),frozenset({' Telur'}),0.4463276836158192,0.5084745762711864,0.3107344632768362,0.6962025316455697,1.369198312236287,0.08378818347218236,1.617937853107345
